,Focal depths wrt exit plane (mm),,,,,,,,,,,,
Distance WRT Exit plane (mm),7.19,10,12.97,15,18.74,20,25,30,45,60,75,90,96.01
64,0.454731981,0.090296727,0.129055726,0.130796201,0.024160269,0.035427328,0.381976386,0.304585909,3.477549653,13.82835082,17.88423789,16.37505798,15.09128231
64.5,0.470444376,0.098732428,0.123115751,0.130605658,0.02552868,0.032096277,0.369085725,0.318126845,3.269452599,13.56237135,17.88913856,16.62804134,15.41179664
65,0.482238816,0.10712047,0.116514807,0.129502918,0.027067604,0.029264438,0.355747575,0.330432904,3.072716868,13.30303424,17.89444503,16.88102515,15.73412663
65.5,0.488679099,0.114983345,0.10930457,0.1274436,0.028689181,0.026898453,0.341997886,0.341251104,2.885873493,13.04455127,17.89161732,17.12575465,16.04985858
66,0.488809347,0.121867142,0.101617942,0.124463676,0.030318622,0.024971439,0.327938428,0.350409154,2.707761782,12.78177132,17.87232564,17.35358987,16.34992605
66.5,0.482353777,0.127429704,0.09366794,0.12069727,0.031908211,0.02346677,0.313751335,0.35785634,2.537687086,12.51111914,17.82976418,17.55661155,16.62587154
67,0.4697786,0.131509099,0.085722369,0.116365178,0.033446056,0.022377337,0.299661648,0.363659773,2.375209287,12.23018009,17.75837632,17.7275011,16.86993902
67.5,0.452266167,0.134169794,0.078074758,0.111754499,0.034962611,0.021705881,0.285913692,0.36801624,2.220134399,11.93841956,17.65539904,17.86137963,17.07695458
68,0.431599904,0.135716282,0.071014661,0.107193538,0.036533344,0.021466557,0.272768671,0.371278621,2.072715485,11.63891185,17.52392098,17.95935587,17.24770648
68.5,0.409899389,0.136651764,0.064789294,0.103007986,0.038269461,0.021683029,0.260474761,0.373923692,1.933617017,11.33854212,17.37357508,18.02973496,17.39009361
69,0.389224459,0.137579049,0.059561413,0.099458657,0.040293045,0.022380156,0.249188465,0.37642127,1.803430763,11.04522482,17.21659965,18.08437281,17.5155799
69.5,0.371197807,0.139080633,0.055382629,0.096687319,0.042704838,0.023571718,0.23889496,0.379069922,1.682117063,10.76405438,17.06194512,18.13272981,17.63345457
70,0.356806009,0.141629458,0.052196083,0.094698657,0.045559137,0.025249798,0.229394264,0.381907547,1.568865563,10.49550061,16.91220566,18.17856881,17.74756947
70.5,0.346412051,0.145552403,0.049863049,0.093381701,0.048853439,0.027379583,0.220365783,0.384738837,1.46244144,10.23654989,16.76492577,18.22098661,17.85724392
71,0.339888745,0.15102922,0.048196541,0.092549211,0.052529205,0.029898995,0.211462921,0.387223967,1.361661026,9.982991797,16.61565545,18.25711733,17.9598128
71.5,0.336767813,0.158100324,0.046990541,0.091973378,0.056476765,0.032720486,0.202387451,0.388959888,1.265652558,9.730854579,16.45965661,18.28343543,18.05190031
72,0.336368312,0.166677745,0.046045172,0.091414946,0.060544591,0.035735098,0.192933924,0.389548891,1.173894304,9.476912046,16.29241552,18.29589353,18.12959708
72.5,0.337925432,0.176572872,0.045191584,0.090654905,0.064559631,0.038822735,0.183021248,0.388688784,1.086207011,9.219398707,16.11091852,18.29124125,18.18980632
73,0.340720984,0.187543891,0.044313198,0.089528442,0.068359072,0.04186985,0.17271281,0.38627532,1.002762372,8.959160906,15.9160274,18.26987279,18.23306322
73.5,0.344169919,0.199336896,0.04335287,0.087944824,0.071819966,0.044787408,0.162201762,0.38244966,0.923991375,8.699964063,15.71359446,18.23744537,18.26514522
74,0.347813731,0.21168843,0.042300282,0.085879655,0.074869395,0.047518344,0.151750295,0.377536745,0.850326176,8.446936682,15.51224978,18.20279532,18.29499015
74.5,0.351235185,0.224287224,0.041166782,0.083346699,0.07747231,0.050031584,0.141607947,0.371909491,0.781901762,8.203929394,15.3189969,18.17325823,18.33006994
75,0.353965378,0.236731615,0.039961827,0.080371536,0.07961203,0.05231001,0.131952253,0.365870033,0.718428503,7.97175361,15.13599247,18.15111845,18.37282714
75.5,0.355442551,0.248520602,0.038680715,0.076982359,0.081279328,0.054341472,0.122873968,0.359606835,0.659307203,7.748354217,14.96049714,18.13348332,18.42050094
76,0.355027772,0.259082637,0.037303902,0.073215352,0.082471599,0.056115143,0.114395438,0.353212279,0.603871162,7.530252903,14.78700069,18.11447466,18.46724712
76.5,0.352053674,0.267820938,0.035803734,0.0691236,0.083194598,0.057620486,0.106499174,0.346714437,0.551595635,7.313963196,14.60935214,18.08730473,18.50611474
77,0.345899337,0.274165742,0.034155607,0.06478435,0.083464865,0.058848895,0.099154547,0.340105182,0.502203448,7.096872595,14.42206651,18.04542279,18.53013528
77.5,0.336101818,0.277645627,0.032351626,0.060304985,0.083318171,0.05980172,0.092341596,0.333378692,0.455682058,6.877881903,14.22158198,17.98386088,18.53367377
78,0.322489971,0.277980631,0.030412578,0.055825091,0.082823937,0.060504559,0.086068527,0.326581277,0.412237308,6.658003599,14.00781989,17.9012523,18.5145465
78.5,0.3052816,0.275163631,0.028392181,0.051507967,0.082094592,0.061019344,0.080373019,0.319837915,0.37217942,6.440384589,13.78494121,17.8011014,18.47543557
79,0.285085748,0.269483314,0.026370509,0.04751837,0.081277689,0.061443823,0.075303062,0.313323217,0.335758157,6.229266007,13.55993998,17.69047935,18.42277396
79.5,0.262806672,0.261475369,0.024440103,0.043994406,0.080531631,0.061896694,0.070887059,0.307190261,0.3030118,6.028205659,13.33948403,17.57649525,18.36329436
